Week,machine learning,big data,data science
2011-12-04,18,14,9
2011-12-11,17,13,9
2011-12-18,15,13,6
2011-12-25,12,11,5
2012-01-01,13,15,8
2012-01-08,16,17,10
2012-01-15,14,17,8
2012-01-22,14,17,10
2012-01-29,16,18,9
2012-02-05,16,19,9
2012-02-12,17,22,9
2012-02-19,17,21,8
2012-02-26,17,21,9
2012-03-04,16,22,9
2012-03-11,17,22,7
2012-03-18,16,22,8
2012-03-25,16,24,8
2012-04-01,16,23,8
2012-04-08,15,24,7
2012-04-15,17,25,9
2012-04-22,18,27,8
2012-04-29,18,27,7
2012-05-06,17,26,8
2012-05-13,16,25,8
2012-05-20,16,26,7
2012-05-27,15,26,7
2012-06-03,14,27,6
2012-06-10,15,28,8
2012-06-17,14,27,7
2012-06-24,16,26,7
2012-07-01,14,23,7
2012-07-08,15,27,6
2012-07-15,13,26,7
2012-07-22,14,28,6
2012-07-29,15,24,6
2012-08-05,15,28,7
2012-08-12,15,27,8
2012-08-19,16,30,9
2012-08-26,16,30,12
2012-09-02,18,29,12
2012-09-09,18,34,13
2012-09-16,18,35,13
2012-09-23,19,38,11
2012-09-30,17,36,10
2012-10-07,18,37,10
2012-10-14,20,38,10
2012-10-21,19,41,9
2012-10-28,18,41,8
2012-11-04,18,40,10
2012-11-11,17,41,10
2012-11-18,16,37,9
2012-11-25,17,41,10
2012-12-02,17,43,10
2012-12-09,18,42,11
2012-12-16,16,36,8
2012-12-23,13,24,5
2012-12-30,14,31,8
2013-01-06,17,42,10
2013-01-13,17,42,11
2013-01-20,17,42,10
2013-01-27,19,44,12
2013-02-03,17,45,11
2013-02-10,17,45,11
2013-02-17,17,47,9
2013-02-24,19,50,11
2013-03-03,19,51,10
2013-03-10,18,54,10
2013-03-17,17,54,9
2013-03-24,18,54,10
2013-03-31,17,56,10
2013-04-07,19,53,12
2013-04-14,17,53,12
2013-04-21,21,58,11
2013-04-28,19,54,12
2013-05-05,19,53,12
2013-05-12,19,61,11
2013-05-19,19,53,11
2013-05-26,17,55,10
2013-06-02,17,59,11
2013-06-09,17,58,10
2013-06-16,17,56,11
2013-06-23,17,57,10
2013-06-30,17,51,9
2013-07-07,17,55,10
2013-07-14,17,55,10
2013-07-21,17,54,9
2013-07-28,17,54,10
2013-08-04,16,55,10
2013-08-11,16,51,10
2013-08-18,17,59,12
2013-08-25,18,57,16
2013-09-01,18,59,16
2013-09-08,19,61,16
2013-09-15,19,61,15
2013-09-22,20,65,15
2013-09-29,21,64,13
2013-10-06,22,65,13
2013-10-13,23,65,13
2013-10-20,22,67,14
2013-10-27,23,65,14
2013-11-03,22,65,14
2013-11-10,22,68,14
2013-11-17,23,66,15
2013-11-24,22,62,12
2013-12-01,23,65,15
2013-12-08,21,62,14
2013-12-15,20,58,13
2013-12-22,17,44,9
2013-12-29,17,48,10
2014-01-05,22,65,14
2014-01-12,23,67,16
2014-01-19,22,70,16
2014-01-26,23,73,17
2014-02-02,22,70,15
2014-02-09,25,71,16
2014-02-16,24,74,16
2014-02-23,23,76,16
2014-03-02,25,73,17
2014-03-09,24,77,15
2014-03-16,24,77,16
2014-03-23,23,80,15
2014-03-30,26,77,16
2014-04-06,26,76,18
2014-04-13,25,72,15
2014-04-20,24,73,16
2014-04-27,24,71,17
2014-05-04,24,79,18
2014-05-11,24,72,16
2014-05-18,23,78,15
2014-05-25,22,70,15
2014-06-01,23,77,16
2014-06-08,23,75,16
